Date,Open,High,Low,Close,Adj Close,Volume
2022-04-03,0.138903,0.148558,0.137088,0.146453,0.146453,1047399132
2022-04-04,0.146413,0.155312,0.142008,0.148591,0.148591,2253509569
2022-04-05,0.148614,0.178045,0.147727,0.172907,0.172907,5230288678
2022-04-06,0.172485,0.173497,0.143291,0.143417,0.143417,3729047979
2022-04-07,0.143432,0.148028,0.141312,0.146102,0.146102,1420790611
2022-04-08,0.146106,0.152716,0.141608,0.142549,0.142549,1683800631
2022-04-09,0.142544,0.144462,0.141416,0.144303,0.144303,523997409
2022-04-10,0.144304,0.156972,0.143863,0.149535,0.149535,1931829669
2022-04-11,0.149374,0.151292,0.133818,0.134654,0.134654,1515679359
2022-04-12,0.134652,0.144122,0.134243,0.138076,0.138076,1214105682
2022-04-13,0.138070,0.142608,0.137067,0.140080,0.140080,890728707
2022-04-14,0.140053,0.146633,0.138101,0.143920,0.143920,1759067761
2022-04-15,0.143917,0.149287,0.142767,0.146026,0.146026,1140382087
2022-04-16,0.146017,0.147811,0.142093,0.143712,0.143712,584019179
2022-04-17,0.143693,0.144709,0.138995,0.139459,0.139459,636442285
2022-04-18,0.139471,0.140461,0.134384,0.140286,0.140286,909718484
2022-04-19,0.140297,0.144141,0.139500,0.142665,0.142665,679511647
2022-04-20,0.142677,0.146241,0.139595,0.140878,0.140878,1068542289
2022-04-21,0.140868,0.142448,0.135255,0.136365,0.136365,740549793
2022-04-22,0.136357,0.137908,0.134985,0.136395,0.136395,505251263
2022-04-23,0.136387,0.136495,0.133810,0.134241,0.134241,349740069
2022-04-24,0.134202,0.134690,0.131502,0.131947,0.131947,436620221
2022-04-25,0.131936,0.167735,0.123869,0.157959,0.157959,5177823685
2022-04-26,0.157777,0.165278,0.137424,0.137767,0.137767,4529010503
2022-04-27,0.137847,0.145405,0.136272,0.139700,0.139700,1765370972
2022-04-28,0.139691,0.142618,0.136058,0.137363,0.137363,1105137506
2022-04-29,0.137376,0.144643,0.134099,0.135027,0.135027,1555397213
2022-04-30,0.135033,0.136528,0.126239,0.127557,0.127557,916612071
2022-05-01,0.127589,0.134821,0.127533,0.132773,0.132773,991710768
2022-05-02,0.132794,0.133783,0.128300,0.130938,0.130938,769062732
2022-05-03,0.130935,0.131833,0.127399,0.129520,0.129520,555706527
2022-05-04,0.129514,0.135809,0.129313,0.135809,0.135809,838050627
2022-05-05,0.135813,0.137313,0.126697,0.128430,0.128430,1258066467
2022-05-06,0.128403,0.129305,0.124566,0.127901,0.127901,839005988
2022-05-07,0.127890,0.131920,0.125365,0.127532,0.127532,746383231
2022-05-08,0.127527,0.128017,0.123974,0.124207,0.124207,728953161
2022-05-09,0.124200,0.125136,0.104824,0.104824,0.104824,1353326367
2022-05-10,0.104708,0.117775,0.100881,0.108477,0.108477,1723066438
2022-05-11,0.108449,0.110565,0.080036,0.084581,0.084581,2556008051
2022-05-12,0.084636,0.089028,0.070037,0.082671,0.082671,2631064083
2022-05-13,0.082639,0.094254,0.082371,0.088331,0.088331,1444350618
2022-05-14,0.088341,0.091598,0.084483,0.089796,0.089796,902479951
